,Date,Province,Country,Lat,Long,Confirmed,Dealth,Recovered
0,2020-01-22,Alberta,Canada,53.9333,-116.5765,0.0,0.0,0.0
1,2020-01-22,Anguilla,United Kingdom,18.2206,-63.0686,0.0,0.0,0.0
2,2020-01-22,Anhui,China,31.8257,117.2264,1.0,0.0,0.0
3,2020-01-22,Aruba,Netherlands,12.5211,-69.9683,0.0,0.0,0.0
4,2020-01-22,Australian Capital Territory,Australia,-35.4735,149.0124,0.0,0.0,0.0
5,2020-01-22,Beijing,China,40.1824,116.4142,14.0,0.0,0.0
6,2020-01-22,Bermuda,United Kingdom,32.3078,-64.7505,0.0,0.0,0.0
7,2020-01-22,"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0.0,0.0,0.0
8,2020-01-22,British Columbia,Canada,53.7267,-127.6476,0.0,0.0,0.0
9,2020-01-22,British Virgin Islands,United Kingdom,18.4207,-64.64,0.0,0.0,0.0
10,2020-01-22,Cayman Islands,United Kingdom,19.3133,-81.2546,0.0,0.0,0.0
11,2020-01-22,Channel Islands,United Kingdom,49.3723,-2.3644,0.0,0.0,0.0
12,2020-01-22,Chongqing,China,30.0572,107.874,6.0,0.0,0.0
13,2020-01-22,Curacao,Netherlands,12.1696,-68.99,0.0,0.0,0.0
14,2020-01-22,Diamond Princess,Canada,0.0,0.0,0.0,0.0,0.0
15,2020-01-22,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0.0,0.0,0.0
16,2020-01-22,Faroe Islands,Denmark,61.8926,-6.9118,0.0,0.0,0.0
17,2020-01-22,French Guiana,France,3.9339,-53.1258,0.0,0.0,0.0
18,2020-01-22,French Polynesia,France,-17.6797,149.4068,0.0,0.0,0.0
19,2020-01-22,Fujian,China,26.0789,117.9874,1.0,0.0,0.0
20,2020-01-22,Gansu,China,35.7518,104.2861,0.0,0.0,0.0
21,2020-01-22,Gibraltar,United Kingdom,36.1408,-5.3536,0.0,0.0,0.0
22,2020-01-22,Grand Princess,Canada,0.0,0.0,0.0,0.0,0.0
23,2020-01-22,Greenland,Denmark,71.7069,-42.6043,0.0,0.0,0.0
24,2020-01-22,Guadeloupe,France,16.265,-61.551,0.0,0.0,0.0
25,2020-01-22,Guangdong,China,23.3417,113.4244,26.0,0.0,0.0
